stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
579,u010551701,Mioma,Mioma,VALDEGOBIA/GAUBEA,42.8917,-3.1117,4,,0,,,0,0,0
580,u010550501,Basabe,Basabe,VALDEGOBIA/GAUBEA,42.8934,-3.1441,4,,0,,,0,0,0
581,u010550101,Acebedo,Acebedo,VALDEGOBIA/GAUBEA,42.9035,-3.1541,4,,0,,,0,0,0
582,u010552601,Valluerca,Valluerca,VALDEGOBIA/GAUBEA,42.909,-3.1678,4,,0,,,0,0,0
583,u010552201,Quintanilla,Quintanilla,VALDEGOBIA/GAUBEA,42.9122,-3.1866,4,,0,,,0,0,0
584,u010551002,Corro (TC),Corro (TC),VALDEGOBIA/GAUBEA,42.8794,-3.1708,4,,0,,,0,0,0
585,u010552001,Pinedo,Pinedo,VALDEGOBIA/GAUBEA,42.8756,-3.1491,4,,0,,,0,0,0
587,u090500201,Valpuesta,Valpuesta,VALDEGOBIA/GAUBEA,42.8661,-3.1245,4,,0,,,0,0,0
588,u010552101,Quejo,Quejo,VALDEGOBIA/GAUBEA,42.8327,-3.1389,4,,0,,,0,0,0
589,u010551801,Nograro,Nograro,VALDEGOBIA/GAUBEA,42.8241,-3.1127,4,,0,,,0,0,0
590,u010550801,Caranca,Caranca,VALDEGOBIA/GAUBEA,42.8672,-3.0745,4,,0,,,0,0,0
591,u010550201,Astúlez/Estuliz,Astúlez/Estuliz,VALDEGOBIA/GAUBEA,42.8819,-3.0872,4,,0,,,0,0,0
592,u010551901,Osma,Osma,VALDEGOBIA/GAUBEA,42.8902,-3.0641,4,,0,,,0,0,0
593,u010551201,Fresneda,Fresneda,VALDEGOBIA/GAUBEA,42.875,-3.0545,4,,0,,,0,0,0
594,u010550901,Karkamu,Karkamu,VALDEGOBIA/GAUBEA,42.8603,-3.0395,4,,0,,,0,0,0
595,u010551301,Guinea,Guinea,VALDEGOBIA/GAUBEA,42.8533,-3.0146,4,,0,,,0,0,0
596,u010490101,Atiega/Atiaga,Atiega/Atiaga,AÑANA,42.8261,-3.0086,3,,0,,,0,0,0
597,u010550601,Bellojín,Bellojín,VALDEGOBIA/GAUBEA,42.8289,-3.0281,4,,0,,,0,0,0
598,u010552701,Villamaderne,Villamaderne,VALDEGOBIA/GAUBEA,42.8235,-3.0404,4,,0,,,0,0,0
599,u010550401,Barrio,Barrio,VALDEGOBIA/GAUBEA,42.8086,-3.0886,4,,0,,,0,0,0
604,u010550301,Bachicabo,Bachicabo,VALDEGOBIA/GAUBEA,42.7895,-3.0712,4,,0,,,0,0,0
605,u010462401,Villabezana,Villabezana,RIBERA ALTA/ERRIBERA GOITIA,42.7397,-2.9429,3,,0,,,0,0,0
606,u010462001,San Miguel,San Miguel,RIBERA ALTA/ERRIBERA GOITIA,42.7568,-2.9263,3,,0,,,0,0,0
607,u010462601,Villambrosa,Villambrosa,RIBERA ALTA/ERRIBERA GOITIA,42.781,-3.0054,3,,0,,,0,0,0
608,u010460401,Arreo,Arreo,RIBERA ALTA/ERRIBERA GOITIA,42.7843,-2.9694,3,,0,,,0,0,0
609,u010462301,Viloria,Viloria,RIBERA ALTA/ERRIBERA GOITIA,42.793,-2.9691,3,,0,,,0,0,0
610,u010460701,Basquiñuelas,Basquiñuelas,RIBERA ALTA/ERRIBERA GOITIA,42.812,-2.9609,3,,0,,,0,0,0
611,u010460301,Arbígano,Arbígano,RIBERA ALTA/ERRIBERA GOITIA,42.8051,-2.9328,3,,0,,,0,0,0
612,u010460901,Castillo Sopeña,Castillo Sopeña,RIBERA ALTA/ERRIBERA GOITIA,42.7885,-2.9204,3,,0,,,0,0,0
613,u010460801,Caicedo Sopeña,Caicedo Sopeña,RIBERA ALTA/ERRIBERA GOITIA,42.7858,-2.917,3,,0,,,0,0,0
614,u010461301,Leciñana de la Oca,Leciñana de la Oca,RIBERA ALTA/ERRIBERA GOITIA,42.7588,-2.8628,3,,0,,,0,0,0
616,u010461101,Hereña,Hereña,RIBERA ALTA/ERRIBERA GOITIA,42.7779,-2.9048,3,,0,,,0,0,0
617,u010460202,Mimbredo,Mimbredo,RIBERA ALTA/ERRIBERA GOITIA,42.7921,-2.9021,3,,0,,,0,0,0
618,u010462201,Tuyo,Tuyo,RIBERA ALTA/ERRIBERA GOITIA,42.7835,-2.8467,3,,0,,,0,0,0
619,u010462501,Villaluenga,Villaluenga,RIBERA ALTA/ERRIBERA GOITIA,42.7889,-2.8617,3,,0,,,0,0,0
620,u010461201,Lasierra,Lasierra,RIBERA ALTA/ERRIBERA GOITIA,42.7964,-2.8755,3,,0,,,0,0,0
621,u010461601,Nuvilla,Nuvilla,RIBERA ALTA/ERRIBERA GOITIA,42.7979,-2.8823,3,,0,,,0,0,0
622,u010460601,Barrón,Barrón,RIBERA ALTA/ERRIBERA GOITIA,42.8464,-2.9928,3,,0,,,0,0,0
623,u010460501,Artaza/Artatza,Artaza/Artatza,RIBERA ALTA/ERRIBERA GOITIA,42.8491,-2.9679,3,,0,,,0,0,0
624,u010461001,Escota/Axkoeta,Escota/Axkoeta,RIBERA ALTA/ERRIBERA GOITIA,42.8374,-2.9435,3,,0,,,0,0,0
625,u010461701,Ormijana,Ormijana,RIBERA ALTA/ERRIBERA GOITIA,42.8338,-2.9315,3,,0,,,0,0,0
626,u010461501,Morillas,Morillas,RIBERA ALTA/ERRIBERA GOITIA,42.8245,-2.9002,3,,0,,,0,0,0
627,u010462101,Subijana-Morillas,Subijana-Morillas,RIBERA ALTA/ERRIBERA GOITIA,42.8244,-2.8976,3,,0,,,0,0,0
628,u010460201,Anúcita/Anuntzeta,Anúcita/Anuntzeta,RIBERA ALTA/ERRIBERA GOITIA,42.8006,-2.8983,3,,0,,,0,0,0
629,u019010204,C.P. ARABA/ALAVA,C.P. ARABA/ALAVA,IRUÑA DE OCA/IRUÑA OKA,42.8034,-2.7864,2,,0,,,0,0,0
657,u010470101,Igai,Igai,RIBERA BAJA/ERRIBERA BEITIA,42.7374,-2.9132,3,,0,,,0,0,0
658,u010470401,Quintanilla de la Ribera,Quintanilla de la Ribera,VALDEGOBIA/GAUBEA,42.7314,-2.9074,4,,0,,,0,0,0
660,u010470601,Ribaguda,Ribaguda,RIBERA BAJA/ERRIBERA BEITIA,42.699,-2.8826,3,,0,,,0,0,0
661,u010060301,Lacorzana,Lacorzana,ARMIÑÓN,42.6878,-2.8866,3,,0,,,0,0,0
662,u010060201,Estavillo,Estavillo,ARMIÑÓN,42.7286,-2.8615,3,,0,,,0,0,0
663,u010060101,ARMIÑON,ARMIÑON,ARMIÑÓN,42.7236,-2.872,3,,0,,,0,0,0
664,u010470301,Melledes,Melledes,RIBERA BAJA/ERRIBERA BEITIA,42.7409,-2.8976,3,,0,,,0,0,0
665,u010470201,Manzanos (Geltokia/Estación),Manzanos (Geltokia/Estación),RIBERA BAJA/ERRIBERA BEITIA,42.7431,-2.8672,3,,0,,,0,0,0
666,u091091201,Burgueta,Burgueta,CONDADO DE TREVIÑO,42.7395,-2.8442,2,,0,,,0,0,0
667,u091093301,Pangua,Pangua,CONDADO DE TREVIÑO,42.7384,-2.8268,2,,0,,,0,0,0
668,u091093701,San Esteban,San Esteban,VALDEGOBIA/GAUBEA,42.7364,-2.8173,4,,0,,,0,0,0
669,u091092801,Muergas,Muergas,CONDADO DE TREVIÑO,42.7269,-2.8048,2,,0,,,0,0,0
670,u091090401,Añastro,Añastro,CONDADO DE TREVIÑO,42.7412,-2.7904,2,,0,,,0,0,0
671,u091093001,Ocilla y Ladrera,Ocilla y Ladrera,CONDADO DE TREVIÑO,42.7637,-2.779,2,,0,,,0,0,0
